요일,시각,21,22,23,24,33,40,53,71,83,85,86,25_26_27,31_32,51_61_62
금,19:00,0,0,49,0,0,0,0,0,0,0,0,0,0,11
금,19:30,0,0,49,0,0,0,0,0,0,0,0,0,0,11
금,20:00,0,0,49,0,0,0,0,0,0,0,0,0,0,11
금,20:30,0,0,49,0,0,0,0,0,0,0,0,0,0,11
금,21:00,0,0,49,0,0,0,0,0,0,0,0,0,0,0
금,21:30,0,0,49,0,0,0,0,0,0,0,0,0,0,0
토,08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,08:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,09:00,0,0,49,0,0,0,0,0,0,0,0,0,0,0
토,09:30,0,0,49,0,0,0,0,0,0,0,0,0,0,0
토,10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,10:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,11:00,0,0,49,0,0,0,0,0,0,0,0,0,0,0
토,11:30,0,0,49,0,0,0,0,0,0,0,0,0,0,0
토,12:00,0,0,49,0,0,0,0,0,0,0,0,0,0,0
토,12:30,0,0,49,0,0,0,0,0,0,0,0,0,0,0
토,13:00,0,0,49,0,0,0,0,0,0,0,0,0,0,0
토,13:30,0,0,49,0,0,0,0,0,0,0,0,0,0,0
토,14:00,0,0,49,0,0,0,0,0,0,0,0,0,0,0
토,14:30,0,0,49,0,0,0,0,0,0,0,0,0,0,0
토,15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,15:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,16:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,17:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,19:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토,21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
