학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2024학년도 2학기,물리화학2,"월16:30-17:45【330126】,수15:00-16:15【330126】","월16:30-17:45【330126】,수15:00-16:15【330126】",일반수업,33,52,1
2024학년도 2학기,신소재프로세스공학,"화15:00-16:15【26108】,목16:30-17:45【26108】","화15:00-16:15【26108】,목16:30-17:45【26108】",국제어수업,26,159,3
2024학년도 2학기,신소재프로세스공학,"월13:30-14:45【26108】,수12:00-13:15【26108】","월13:30-14:45【26108】,수12:00-13:15【26108】",일반수업,26,159,3
2024학년도 2학기,신소재프로세스공학,목12:00-13:15【26108】【1.5h(ON)+1.5h(OFF)】,목12:00-13:15【26108】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,159,3
2024학년도 2학기,박막재료공정,"화10:30-11:45【26311】,목09:00-10:15【26311】","화10:30-11:45【26311】,목09:00-10:15【26311】",국제어수업,26,0,0
2024학년도 2학기,반도체공정,"화12:00-13:15【26108】,목13:30-14:45【26108】","화12:00-13:15【26108】,목13:30-14:45【26108】",국제어수업,26,128,3
2024학년도 2학기,반도체공정,"월13:30-14:45【26311】,수12:00-13:15【26311】","월13:30-14:45【26311】,수12:00-13:15【26311】",일반수업,26,128,3
2024학년도 2학기,반도체공정,화10:30-11:45【26110】【1.5h(ON)+1.5h(OFF)】,화10:30-11:45【26110】【1.5h(ON)+1.5h(OFF)】,일반수업,26,128,3
2024학년도 2학기,열역학,"월12:00-13:15【22310】,수13:30-14:45【22310】","월12:00-13:15【22310】,수13:30-14:45【22310】",일반수업,22,40,2
2024학년도 2학기,열역학,"월16:30-17:45【22310】,수15:00-16:15【22310】","월16:30-17:45【22310】,수15:00-16:15【22310】",국제어수업,22,40,2
2024학년도 2학기,유체역학,"화15:00-16:15【22310】,목16:30-17:45【22310】","화15:00-16:15【22310】,목16:30-17:45【22310】",일반수업,22,161,4
2024학년도 2학기,유체역학,"화15:00-16:15【22312】,목16:30-17:45【22312】","화15:00-16:15【22312】,목16:30-17:45【22312】",일반수업,22,161,4
2024학년도 2학기,유체역학,"화16:30-17:45【22312】,목15:00-16:15【22312】","화16:30-17:45【22312】,목15:00-16:15【22312】",일반수업,22,161,4
2024학년도 2학기,유체역학,수16:30-17:45【22310】【1.5h(ON)+1.5h(OFF)】,수16:30-17:45【22310】【1.5h(ON)+1.5h(OFF)】,국제어수업,22,161,4
2024학년도 2학기,고체역학,"월13:30-14:45【22310】,수12:00-13:15【22310】","월13:30-14:45【22310】,수12:00-13:15【22310】",국제어수업,22,45,1
2024학년도 2학기,자료구조개론,월09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,월09:00-10:15【26310】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,206,2
2024학년도 2학기,자료구조개론,"화09:00-10:15【미지정】,목10:30-11:45【미지정】","화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,0,206,2
