학년도학기,교과목명,수업시간대,수업요일및강의실,수업형태,building,수강인원,개설강좌수
2025학년도 1학기,화공유체역학,"월16:30-17:45【26507】,수15:00-16:15【26507】","월16:30-17:45【26507】,수15:00-16:15【26507】",국제어수업,26,244,4
2025학년도 1학기,화공유체역학,수16:30-17:45【26310】【1.5h(ON)+1.5h(OFF)】,수16:30-17:45【26310】【1.5h(ON)+1.5h(OFF)】,일반수업,26,244,4
2025학년도 1학기,화공유체역학,"화16:30-17:45【26502】,목15:00-16:15【26502】","화16:30-17:45【26502】,목15:00-16:15【26502】",국제어수업,26,244,4
2025학년도 1학기,화공유체역학,수10:30-11:45【61208】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【61208】【1.5h(ON)+1.5h(OFF)】,국제어수업,61,244,4
2025학년도 1학기,생물화학공학,"화15:00-16:15【26505】,목16:30-17:45【26505】","화15:00-16:15【26505】,목16:30-17:45【26505】",일반수업,26,0,0
2025학년도 1학기,고체화학공학,"월10:30-11:45【26505】,수09:00-10:15【26505】【1h(ON)+3h(OFF)[4시간]】","월10:30-11:45【26505】,수09:00-10:15【26505】【1h(ON)+3h(OFF)[4시간]】",국제어수업,26,61,1
2025학년도 1학기,융복합소재개론,"화09:00-10:15【31214】,목10:30-11:45【31214】","화09:00-10:15【31214】,목10:30-11:45【31214】",일반수업,31,0,0
2025학년도 1학기,화공계산,"화10:30-11:45【26515】,목09:00-10:15【26515】","화10:30-11:45【26515】,목09:00-10:15【26515】",일반수업,26,0,0
2025학년도 1학기,화공계산,"월10:30-11:45【26308】,수09:00-10:15【26308】","월10:30-11:45【26308】,수09:00-10:15【26308】",국제어수업,26,0,0
2025학년도 1학기,화공계산,월16:30-17:45【26515】【1.5h(ON)+1.5h(OFF)】,월16:30-17:45【26515】【1.5h(ON)+1.5h(OFF)】,일반수업,26,0,0
2025학년도 1학기,화공물리화학1,목16:30-17:45【26308】【1.5h(ON)+1.5h(OFF)】,목16:30-17:45【26308】【1.5h(ON)+1.5h(OFF)】,일반수업,26,255,4
2025학년도 1학기,화공물리화학1,"월13:30-14:45【26308】,수12:00-13:15【26308】","월13:30-14:45【26308】,수12:00-13:15【26308】",일반수업,26,255,4
2025학년도 1학기,화공물리화학1,수10:30-11:45【51306】【1.5h(ON)+1.5h(OFF)】,수10:30-11:45【51306】【1.5h(ON)+1.5h(OFF)】,국제어수업,51,255,4
2025학년도 1학기,화공물리화학1,"월10:30-11:45【26507】,수09:00-10:15【26507】","월10:30-11:45【26507】,수09:00-10:15【26507】",일반수업,26,255,4
2025학년도 1학기,화공유기화학1,"월12:00-13:15【26308】,수13:30-14:45【26308】","월12:00-13:15【26308】,수13:30-14:45【26308】",국제어수업,26,267,4
2025학년도 1학기,화공유기화학1,"화15:00-16:15【26507】,목16:30-17:45【26507】","화15:00-16:15【26507】,목16:30-17:45【26507】",국제어수업,26,267,4
2025학년도 1학기,화공유기화학1,"화16:30-17:45【26507】,목15:00-16:15【26507】","화16:30-17:45【26507】,목15:00-16:15【26507】",국제어수업,26,267,4
2025학년도 1학기,화공유기화학1,"화12:00-13:15【26223】,목13:30-14:45【26223】","화12:00-13:15【26223】,목13:30-14:45【26223】",일반수업,26,267,4
2025학년도 1학기,에너지공학,"월15:00-16:15【26505】,수16:30-17:45【26505】","월15:00-16:15【26505】,수16:30-17:45【26505】",일반수업,26,0,0
2025학년도 1학기,고분자화학,"월13:30-14:45【26502】,수12:00-13:15【26502】","월13:30-14:45【26502】,수12:00-13:15【26502】",일반수업,26,49,1
2025학년도 1학기,분리공정,화12:00-13:15【26308】【1.5h(ON)+1.5h(OFF)】,화12:00-13:15【26308】【1.5h(ON)+1.5h(OFF)】,국제어수업,26,95,2
2025학년도 1학기,분리공정,"화10:30-11:45【26507】,목09:00-10:15【26507】","화10:30-11:45【26507】,목09:00-10:15【26507】",일반수업,26,95,2
2025학년도 1학기,화학공학실험1,"월18:00-18:50【24208】,월19:00-19:50【24208】,월20:00-20:50【24208】,월21:00-21:45【24208】","월18:00-18:50【24208】,월19:00-19:50【24208】,월20:00-20:50【24208】,월21:00-21:45【24208】",국제어수업,24,0,0
2025학년도 1학기,화학공학실험1,"화18:00-18:50【24208】,화19:00-19:50【24208】,화20:00-20:50【24208】,화21:00-21:45【24208】","화18:00-18:50【24208】,화19:00-19:50【24208】,화20:00-20:50【24208】,화21:00-21:45【24208】",일반수업,24,0,0
2025학년도 1학기,화학공학실험1,"수18:00-18:50【24208】,수19:00-19:50【24208】,수20:00-20:50【24208】,수21:00-21:45【24208】","수18:00-18:50【24208】,수19:00-19:50【24208】,수20:00-20:50【24208】,수21:00-21:45【24208】",일반수업,24,0,0
2025학년도 1학기,화학공학실험1,"목18:00-18:50【24208】,목19:00-19:50【24208】,목20:00-20:50【24208】,목21:00-21:45【24208】","목18:00-18:50【24208】,목19:00-19:50【24208】,목20:00-20:50【24208】,목21:00-21:45【24208】",일반수업,24,0,0
2025학년도 1학기,화학공학실험2,"월18:00-18:50【24103B】,월19:00-19:50【24103B】,월20:00-20:50【24103B】,월21:00-21:45【24103B】","월18:00-18:50【24103B】,월19:00-19:50【24103B】,월20:00-20:50【24103B】,월21:00-21:45【24103B】",일반수업,24,82,4
2025학년도 1학기,화학공학실험2,"화18:00-18:50【24103B】,화19:00-19:50【24103B】,화20:00-20:50【24103B】,화21:00-21:45【24103B】","화18:00-18:50【24103B】,화19:00-19:50【24103B】,화20:00-20:50【24103B】,화21:00-21:45【24103B】",국제어수업,24,82,4
2025학년도 1학기,화학공학실험2,"수18:00-18:50【24103B】,수19:00-19:50【24103B】,수20:00-20:50【24103B】,수21:00-21:45【24103B】","수18:00-18:50【24103B】,수19:00-19:50【24103B】,수20:00-20:50【24103B】,수21:00-21:45【24103B】",일반수업,24,82,4
2025학년도 1학기,화학공학실험2,"목18:00-18:50【24103B】,목19:00-19:50【24103B】,목20:00-20:50【24103B】,목21:00-21:45【24103B】","목18:00-18:50【24103B】,목19:00-19:50【24103B】,목20:00-20:50【24103B】,목21:00-21:45【24103B】",일반수업,24,82,4
2025학년도 1학기,화학공학현장실습4,미지정,미지정,일반수업,0,0,0
2025학년도 1학기,에너지소재,"월13:30-14:45【26507】,수12:00-13:15【26507】","월13:30-14:45【26507】,수12:00-13:15【26507】",국제어수업,26,60,1
2025학년도 1학기,화공전자재료,"월12:00-13:15【26502】,수13:30-14:45【26502】","월12:00-13:15【26502】,수13:30-14:45【26502】",일반수업,26,46,1
2025학년도 1학기,반도체화학공정,"금12:00-13:15【26308】,금13:30-14:45【26308】","금12:00-13:15【26308】,금13:30-14:45【26308】",일반수업,26,0,0
